id;ADR_SECTEUR;ANNEEDEPLANTATION;ANNEEREALISATIONDIAGNOSTIC;ANNEETRAVAUXPRECONISESDIAG;CODE;CODE_PARENT;CODE_PARENT_DESC;DIAMETREARBREAUNMETRE;ESPECE;FREQUENTATIONCIBLE;GENRE_BOTA;IDENTIFIANTPLU;INTITULEPROTECTIONPLU;NOTEDIAGNOSTIC;PRIORITEDERENOUVELLEMENT;RAISONDEPLANTATION;REMARQUES;SOUS_CATEGORIE;SOUS_CATEGORIE_DESC;STADEDEDEVELOPPEMENT;STADEDEVELOPPEMENTDIAG;TRAITEMENTCHENILLES;TRAVAUXPRECONISESDIAG;TROTTOIR;TYPEIMPLANTATIONPLU;VARIETE;VIGUEUR
2044;6;2004;2015;2018;ESP23598;ESP706;R Maquis de l'Oisans impair;10 à 20 cm;cappadocicum;passages fréquents et arrêts fréquents;Acer;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre jeune;N/A;Taille formation et mise au gabarit;non;N/A;N/A;vigoureux
2045;3;2004;2014;2014;ESP27672;ESP836;R Hilaire de Chardonnet;20 à 30 cm;cordata;passages fréquents et arrêts fréquents;Alnus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;Taille formation et mise au gabarit;oui;N/A;N/A;vigoureux
2046;2;2004;2014;N/A;ESP17167;ESP44;Pl J Achard;10 à 20 cm;soulangiana;passages fréquents et arrêts fréquents;Magnolia;N/A;N/A;Arbre d'avenir normal;de 11 à 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;N/A;oui;N/A;N/A;vigueur intermédiaire
2047;6;2009;2015;N/A;ESP14280;ESP922;Al de la Sylphide ang Vigny;10 à 20 cm;fraxinifolia;passages fréquents et arrêts fréquents;Pterocarya;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre jeune;Arbre adulte;N/A;N/A;oui;N/A;N/A;vigoureux
2048;4;2004;2013;2016;ESP14949;ESP1088;R L Lagrange face école;40 à 50 cm;robusta;passages fréquents et arrêts fréquents;Populus;N/A;N/A;Arbre d'avenir normal;de 11 à 20 ans;N/A;Surveillance;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;Controle;oui;N/A;N/A;vigoureux
2049;6;2004;2015;2017;ESP21349;ESP432;Prc La Bruyère NORD mail centr;40 à 50 cm;nigra;passages fréquents ou arrêts;Populus;N/A;N/A;Arbre d'avenir incertain;de 11 à 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Controle;non;N/A;N/A;vigoureux
2050;3;2004;2013;N/A;ESP25105;ESP872;Pc Ch Elysés Ouest;20 à 30 cm;biloba;passages fréquents et arrêts fréquents;Ginkgo;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;0;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;N/A;non;N/A;N/A;vigoureux
2051;1;2014;2014;2019;ESP31468;ESP1148;Parc Vallier aire de jeux;10 à 20 cm;domestica;passages fréquents ou arrêts;Malus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre jeune;Arbre jeune;N/A;Controle;non;N/A;Nationale;vigoureux
2052;2;2014;2014;2020;ESP33165;ESP1196;Crs La Fontaine impair ;10 à 20 cm;lutea;passages fréquents ou arrêts;Cladastris;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre jeune;Arbre jeune;N/A;Controle;oui;N/A;N/A;vigoureux
2053;2;2004;2013;N/A;ESP28635;ESP296;Pl DrGirard;40 à 50 cm;acerifolia;passages fréquents et arrêts fréquents;Platanus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;N/A;non;N/A;N/A;vigoureux
2054;1;2004;2014;2014;ESP13608;ESP1179;R Jules Horowitz;50 à 60 cm;acerifolia;passages fréquents et arrêts fréquents;Platanus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;Taille formation et mise au gabarit;oui;N/A;N/A;vigoureux
2055;3;2004;2013;2012;ESP28968;ESP661;Pc Ch Elysés Est du lac;50 à 60 cm;nigra;passages fréquents et arrêts fréquents;Pinus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;0;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;Haute;Controle;non;N/A;Austriaca;vigoureux
2056;5;2004;2015;N/A;ESP16328;ESP447;Pl J Racine;10 à 20 cm;sempervirens;passages fréquents et arrêts fréquents;Cupressus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;N/A;oui;N/A;N/A;vigoureux
2057;3;2004;2014;2015;ESP6378;ESP726;Pc Savane local pétanque;40 à 50 cm;platanoides;passages fréquents et arrêts fréquents;Acer;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Taille de bois mort;non;N/A;N/A;vigoureux
2058;5;2004;2015;2020;ESP9162;ESP53;Prc Echangeurs talus berges;30 à 40 cm;N/A;passages fréquents ou arrêts;Acer;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Taille formation et mise au gabarit;oui;N/A;N/A;vigoureux
2059;1;2004;2013;2016;ESP26609;ESP797;R Ampère ang Raspail;40 à 50 cm;cordata;passages fréquents et arrêts fréquents;Tilia;N/A;N/A;Arbre d'avenir normal;de 11 à 20 ans;N/A;Problématique façade + dégâts chaussée + gabarit routier;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;Taille formation et mise au gabarit;oui;N/A;N/A;vigoureux
2060;5;2004;2015;N/A;ESP23216;ESP703;Cité Léon Jouhaux;20 à 30 cm;tomentosa;passages fréquents et arrêts fréquents;Paulownia;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre jeune;Arbre adulte;N/A;N/A;non;N/A;N/A;vigoureux
2061;5;2004;2015;2017;ESP29738;ESP147;Prc Echangeurs amphi Sud;20 à 30 cm;cordata;passages fréquents ou arrêts;Alnus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre jeune;N/A;Taille de bois mort;non;N/A;N/A;vigueur intermédiaire
2062;1;2004;2015;2017;ESP5879;ESP1133;Pl Gare F Viallet à C Brenier;40 à 50 cm;serrulata;passages fréquents et arrêts fréquents;Prunus;N/A;N/A;Arbre d'avenir normal;de 11 à 20 ans;N/A;Pied à protéger;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;Taille formation et mise au gabarit;oui;N/A;N/A;vigoureux
2063;4;2004;2014;N/A;ESP15425;ESP1016;Av Berthelot Malifaut G Lussac;20 à 30 cm;saccharinum;passages fréquents et arrêts fréquents;Acer;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;var. Wieri;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;N/A;oui;N/A;Wierii;vigoureux
2064;5;2004;2013;N/A;ESP7087;ESP148;R G Tonnelier Cocat Fernandat;60 à 70 cm;acerifolia;passages fréquents et arrêts fréquents;Platanus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;N/A;non;N/A;N/A;vigoureux
2065;6;2004;2013;2017;ESP9626;ESP764;Prc La Bruyère mail central;40 à 50 cm;tomentosa;passages fréquents et arrêts fréquents;Tilia;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Taille de bois mort;non;N/A;N/A;vigoureux
2066;2;2004;2014;N/A;ESP6075;ESP825;R Bizanet;20 à 30 cm;grandiflora;passages fréquents et arrêts fréquents;Magnolia;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;Les racines débordent de la surface;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;N/A;oui;N/A;N/A;vigoureux
2067;6;2004;2014;2014;ESP16539;ESP1124;Av Europe ech Constantin talus;20 à 30 cm;nigra;passages fréquents et arrêts fréquents;Pinus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;var. 'Austriaca';ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;Moyenne;Taille formation et mise au gabarit;non;N/A;Austriaca;vigoureux
2068;6;2004;2015;2018;ESP2421;ESP1410;Espace Chantal Mauduit;20 à 30 cm;platanoides;passages fréquents et arrêts fréquents;Acer;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Taille formation et mise au gabarit;non;N/A;N/A;vigoureux
2069;3;2004;2013;2015;ESP28713;ESP597;Crs Libération France Ronsard;0 à 10 cm;acerifolia;passages fréquents et arrêts fréquents;Platanus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre jeune;N/A;Arrosage;non;N/A;N/A;vigoureux
2070;2;2004;2015;N/A;ESP22559;ESP114;Pl J Moulin partie Sud Est;20 à 30 cm;canadensis;passages fréquents et arrêts fréquents;Amélanchier;N/A;N/A;Arbre d'avenir incertain;de 11 à 20 ans;N/A;Essence ne correspondant pas sur le terrain - arbre couché;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre vieillissant;N/A;N/A;non;N/A;N/A;vigueur intermédiaire
2071;2;2004;2015;N/A;ESP28465;ESP291;Sq Charles Michels;50 à 60 cm;acerifolia;passages fréquents et arrêts fréquents;Platanus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;0;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;N/A;non;N/A;N/A;vigoureux
2072;2;2004;2013;N/A;ESP11463;ESP594;R Hébert pair Chanrion Verdun;10 à 20 cm;pseudoplatanus;passages fréquents et arrêts fréquents;Acer;N/A;N/A;Arbre d'avenir normal;de 11 à 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;N/A;oui;N/A;Negenia;vigoureux
2073;1;2005;2015;2018;ESP25766;ESP1287;Bd J Vallier voie tram pair;20 à 30 cm;tulipifera;passages fréquents et arrêts fréquents;Liriodendron;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre jeune;N/A;Taille formation et mise au gabarit;non;N/A;N/A;vigoureux
2074;6;2004;2015;2017;ESP23163;ESP563;R C Kogan n 14 à 28;10 à 20 cm;baccata;passages fréquents et arrêts fréquents;Taxus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Taille formation et mise au gabarit;oui;N/A;N/A;vigoureux
2075;3;2004;2015;2016;ESP21878;ESP1015;Ec mat Painlevé 21 Rh Danube;40 à 50 cm;saccharinum;passages fréquents et arrêts fréquents;Acer;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;0;ESP065;Arbre d'enceintes fermées;Arbre adulte;Arbre adulte;N/A;Controle;non;N/A;Wierii;vigoureux
2076;6;2004;2015;2017;ESP25518;ESP760;R du Trident 12 et 13;20 à 30 cm;verrucosa;passages fréquents ou arrêts;Betula;N/A;N/A;Arbre à abattre dans les 10 ans;N/A;N/A;N/A;ESP174;Arbre d'espaces ouverts;N/A;N/A;N/A;Controle;oui;N/A;N/A;vigoureux
2077;1;2004;2014;2014;ESP31209;ESP31186;R Ernest Hareux zone compost;30 à 40 cm;nigra;passages fréquents et arrêts fréquents;Populus;N/A;N/A;Arbre d'avenir incertain;de 11 à 20 ans;N/A;Doute sur la tenue racinaire (planté sur du remblais);ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;Taille d'éclaircie;non;N/A;Italica;vigoureux
2078;1;2004;2014;N/A;ESP26613;ESP493;R du Drac ang Sully;20 à 30 cm;ceracifera;passages fréquents et arrêts fréquents;Prunus;N/A;N/A;Arbre d'avenir incertain;de 11 à 20 ans;N/A;Limiter la taille aux petites branches - système racinaire sectionné à 30 cm du collet à cause des travaux sur réseaux enterrés;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;N/A;non;N/A;Atropurpurea;vigoureux
2079;2;2014;2014;2020;ESP33084;ESP1196;Crs La Fontaine impair ;10 à 20 cm;lutea;passages fréquents ou arrêts;Cladastris;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;Remplacement;N/A;ESP151;Arbre de voirie;Arbre jeune;Arbre jeune;N/A;Controle;oui;N/A;N/A;vigoureux
2080;4;2004;2013;N/A;ESP14309;ESP637;Cargo park Est;10 à 20 cm;saccharinum;passages fréquents et arrêts fréquents;Acer;N/A;N/A;Arbre d'avenir normal;de 11 à 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;N/A;oui;N/A;N/A;vigueur intermédiaire
2081;1;2004;2013;N/A;ESP10238;ESP269;R Ernest Hareux;20 à 30 cm;pseudoplatanus;passages fréquents et arrêts fréquents;Acer;N/A;N/A;Arbre d'avenir normal;de 11 à 20 ans;N/A;Erreur d'essence dans la base de données;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;N/A;non;N/A;N/A;vigoureux
2082;2;2004;2015;N/A;ESP11424;ESP1211;Jard Hoche cour des amoureux;20 à 30 cm;campestris;passages fréquents ou arrêts;Acer;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;0;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;N/A;non;N/A;N/A;vigoureux
2083;4;2004;2014;N/A;ESP14630;ESP508;R Paul Bourget;20 à 30 cm;calleryana;passages fréquents et arrêts fréquents;Pyrus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;var. Chanticleer;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;N/A;non;N/A;Chanticleer;vigoureux
2084;6;2009;2015;2018;ESP14780;ESP1116;Allée de la Sylphide pair;10 à 20 cm;platanoides;passages fréquents et arrêts fréquents;Acer;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre jeune;N/A;Taille formation et mise au gabarit;oui;N/A;N/A;vigoureux
2085;6;2004;2015;N/A;ESP2458;ESP253;R C Kogan n 35 Andrieux;20 à 30 cm;campestris;passages fréquents et arrêts fréquents;Acer;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;N/A;non;N/A;N/A;vigueur intermédiaire
2086;2;2004;2014;N/A;ESP18835;ESP1324;Cité Vignes Huchon à Halage;40 à 50 cm;colurna;passages fréquents et arrêts fréquents;Corylus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;N/A;non;N/A;N/A;vigoureux
2087;3;2004;2015;2018;ESP30971;ESP873;Bd J Vallier voie tram impair;20 à 30 cm;tulipifera;passages fréquents et arrêts fréquents;Liriodendron;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre jeune;N/A;Taille formation et mise au gabarit;non;N/A;N/A;vigoureux
2088;2;2004;2014;2015;ESP2017;ESP592;Parc 2 R Hermin tour Vercors;20 à 30 cm;excelsior;passages fréquents et arrêts fréquents;Fraxinus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;TC par rapport à proximité câble et proximité bâti;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Taille de bois mort;non;N/A;N/A;vigueur intermédiaire
2089;5;2004;2015;2017;ESP27416;ESP914;Sq Marcellin Berthelot;20 à 30 cm;betulus;passages fréquents ou arrêts;Carpinus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Taille cohabitation;non;N/A;N/A;vigueur intermédiaire
2090;2;2004;2015;2019;ESP26942;ESP346;Bd Esplan Autoroute A 48 ;30 à 40 cm;nigra;passages fréquents et arrêts fréquents;Pinus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;Basse;Taille formation et mise au gabarit;oui;N/A;Austriaca;vigoureux
2091;6;2004;2015;2017;ESP27962;ESP1408;Av Constantine Bourse Travail;20 à 30 cm;campestris;passages fréquents et arrêts fréquents;Acer;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Taille cohabitation;oui;N/A;N/A;vigoureux
2092;3;2004;2013;2015;ESP4393;ESP406;Ec et gymnase Houille Blanche;50 à 60 cm;tomentosa;passages fréquents et arrêts fréquents;Tilia;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP065;Arbre d'enceintes fermées;Arbre adulte;Arbre adulte;N/A;Controle;non;N/A;N/A;vigoureux
2093;2;2004;2014;2015;ESP22539;ESP1321;Sq St Eynard massif;50 à 60 cm;bignonoides;passages fréquents et arrêts fréquents;Catalpa;N/A;N/A;Arbre à abattre dans les 5 ans;de 11 à 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre vieillissant;N/A;Abattage;non;N/A;N/A;vieillissement dépérissement
2094;4;2004;2014;2015;ESP10770;ESP1374;Prc Pompidou  gradins;20 à 30 cm;leylandii;passages fréquents et arrêts fréquents;Cupressocyparis;N/A;N/A;Arbre d'avenir incertain;de 11 à 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Taille de bois mort;non;N/A;N/A;vigoureux
2095;6;2004;2013;2016;ESP11682;ESP432;Prc La Bruyère NORD mail centr;30 à 40 cm;excelsior;passages fréquents ou arrêts;Fraxinus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Taille d'éclaircie;non;N/A;N/A;vigoureux
2096;2;2004;2014;2014;ESP8897;ESP819;Pl d'Apvril;30 à 40 cm;pseudoplatanus;passages fréquents et arrêts fréquents;Acer;N/A;N/A;Arbre à abattre dans les 10 ans;de 6 à 10 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Taille formation et mise au gabarit;oui;N/A;N/A;vigueur intermédiaire
2097;5;2004;2014;2014;ESP11089;ESP384;Av Paul Cocat pair;10 à 20 cm;hippocastanum;passages fréquents et arrêts fréquents;Aesculus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre jeune;N/A;Taille formation et mise au gabarit;oui;N/A;N/A;vigoureux
2098;5;2004;2015;2018;ESP11784;ESP1339;Av J O Valles Poterne sép;0 à 10 cm;N/A;passages fréquents et arrêts fréquents;Acer;N/A;N/A;Arbre d'avenir incertain;plus de 20 ans;N/A;0;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;Taille de bois mort;oui;N/A;N/A;vigoureux
2099;4;2004;2015;N/A;ESP30083;ESP989;Parc du Clos d'Or Stalingrad;40 à 50 cm;verrucosa;passages fréquents ou arrêts;Betula;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;N/A;non;N/A;N/A;vigoureux
2100;2;2004;2015;2018;ESP27124;ESP1301;Jard Dauphins 1ère terrasse ;60 à 70 cm;bignonoides;passages fréquents ou arrêts;Catalpa;N/A;N/A;Arbre à abattre dans les 10 ans;de 6 à 10 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Controle résistographe;non;N/A;N/A;vigueur intermédiaire
2101;6;2004;2014;2015;ESP24184;ESP1107;Ec la fontaine;30 à 40 cm;excelsior;passages fréquents et arrêts fréquents;Fraxinus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP065;Arbre d'enceintes fermées;Arbre adulte;Arbre adulte;N/A;Controle;non;N/A;N/A;vigoureux
2102;5;2004;2015;2020;ESP6263;ESP1060;Impasse Clément Ader;20 à 30 cm;excelsior;passages fréquents et arrêts fréquents;Fraxinus;N/A;N/A;Arbre d'avenir incertain;plus de 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Taille formation et mise au gabarit;oui;N/A;N/A;vigoureux
2103;1;2004;2015;2018;ESP27282;ESP793;Sq Coppier R de l'isère;0 à 10 cm;soulangiana;passages fréquents et arrêts fréquents;Magnolia;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;0;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Taille formation et mise au gabarit;non;N/A;N/A;vigoureux
2104;1;2004;2015;2020;ESP15899;ESP941;Bd J Vallier de Irvoy à Ampère;10 à 20 cm;styraciflua;passages fréquents et arrêts fréquents;Liquidambar;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre jeune;N/A;Taille formation et mise au gabarit;oui;N/A;N/A;vigoureux
2105;5;2013;2013;2019;ESP33138;ESP33117;R Manteyer Kaunas à J Perrot;10 à 20 cm;monspessulanum;passages fréquents ou arrêts;Acer;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;Nouveau;N/A;ESP151;Arbre de voirie;Arbre jeune;Arbre jeune;N/A;Controle;non;N/A;N/A;vigoureux
2106;1;2004;2013;2016;ESP26064;ESP195;R Ampère ang Lindbergh;10 à 20 cm;styraciflua;passages fréquents et arrêts fréquents;Liquidambar;N/A;N/A;Arbre d'avenir normal;de 11 à 20 ans;N/A;Problématique façade + dégâts chaussée + gabarit routier;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;Taille formation et mise au gabarit;oui;N/A;N/A;vigoureux
2107;2;2004;2015;2019;ESP27658;ESP346;Bd Esplan Autoroute A 48 ;30 à 40 cm;nigra;passages fréquents et arrêts fréquents;Pinus;N/A;N/A;Arbre d'avenir incertain;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;Basse;Taille formation et mise au gabarit;oui;N/A;Austriaca;vigoureux
2108;2;2009;2014;N/A;ESP16486;ESP352;R Bécaria;20 à 30 cm;sylvatica;passages fréquents et arrêts fréquents;Fagus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;var. Fastigiata;ESP151;Arbre de voirie;Arbre jeune;Arbre adulte;N/A;N/A;oui;N/A;Fastigiata;vigoureux
2109;4;2004;2015;N/A;ESP20312;ESP867;Louvois entrée Prc Pompidou;20 à 30 cm;N/A;passages fréquents ou arrêts;Pinus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;Moyenne;N/A;non;N/A;N/A;vigoureux
2110;5;2004;2015;2017;ESP2187;ESP1339;Av J O Valles Poterne sép;50 à 60 cm;robur;passages fréquents et arrêts fréquents;Quercus;N/A;N/A;Arbre d'avenir incertain;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;Taille formation et mise au gabarit;oui;N/A;N/A;vigoureux
2111;3;2004;2015;2017;ESP25108;ESP523;R Coubertin service voirie;90 à 100 cm;nigra;passages fréquents et arrêts fréquents;Juglans;103;ebc;Arbre à abattre dans les 10 ans;de 6 à 10 ans;N/A;#NOM?;ESP065;Arbre d'enceintes fermées;Arbre adulte;Arbre vieillissant;N/A;Taille mise en sécurité;non;Isolé;N/A;vieillissement dépérissement
2112;2;2004;2015;2016;ESP8828;ESP962;Bd Joffre tram Pasteur Rivet;20 à 30 cm;tulipifera;passages fréquents et arrêts fréquents;Liriodendron;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;Taille formation et mise au gabarit;non;N/A;N/A;vigoureux
2113;2;2004;2014;2014;ESP13497;ESP298;R des Minimes;30 à 40 cm;platyphyllos;passages fréquents et arrêts fréquents;Tilia;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;Taille formation et mise au gabarit;oui;N/A;N/A;vigoureux
2114;5;2004;2014;2014;ESP29701;ESP769;R P Claudel sous bois;60 à 70 cm;alba;passages fréquents et arrêts fréquents;Salix;N/A;N/A;Arbre d'avenir normal;de 11 à 20 ans;N/A;Lierre, Incliné.;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Taille de bois mort;non;N/A;Calva;vigueur intermédiaire
2115;6;2004;2015;2017;ESP22211;ESP915;Allée des Romantiques pair;0 à 10 cm;utilis;passages fréquents et arrêts fréquents;Betula;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;Taille formation et mise au gabarit;oui;N/A;N/A;vigoureux
2116;5;2004;2013;N/A;ESP2837;ESP236;Bd J Pain Forum sép central;30 à 40 cm;acerifolia;passages fréquents et arrêts fréquents;Platanus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;N/A;non;N/A;N/A;vigoureux
2117;3;2004;2013;2015;ESP11482;ESP1220;Ave Beaumarchais;30 à 40 cm;acerifolia;passages fréquents et arrêts fréquents;Platanus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;Taille formation et mise au gabarit;oui;N/A;N/A;vigoureux
2118;2;2004;2014;N/A;ESP30008;ESP1324;Cité Vignes Huchon à Halage;20 à 30 cm;verrucosa;passages fréquents et arrêts fréquents;Betula;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;Mauvais positionnement géographique;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;N/A;non;N/A;N/A;vigoureux
2119;6;2004;2015;2017;ESP15290;ESP1260;Al Romantiques Musset LBruyère;10 à 20 cm;utilis;passages fréquents et arrêts fréquents;Betula;N/A;N/A;Arbre d'avenir incertain;plus de 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Taille formation et mise au gabarit;oui;N/A;N/A;vigoureux
